OBJECTID *,studyName,Lat,Long_,Shape *,Impact Score
135,Occhipinti,44.2292,12.4401,Point,2.888785
136,Occhipinti,44.678,12.426,Point,4.264127
137,Occhipinti,44.678,12.264,Point,4.802784
138,Occhipinti,44.678,12.314,Point,4.737105
139,Robinson,48.723,-123.249,Point,-9999
140,Robinson,48.723,-123.249,Point,-9999
141,Robinson,48.899,-125.278,Point,-9999
142,Robinson,52.393,-131.231,Point,14.528071
143,Robinson,48.899,-125.278,Point,-9999
144,SBC,34.400275,-119.744592,Point,3.738406
145,SBC,34.471817,-120.142617,Point,-9999
146,SBC,34.46775,-120.11905,Point,-9999
147,SBC,34.458505,-120.33349,Point,-9999
148,SBC,34.391632,-119.541693,Point,3.44172
149,SBC,34.413717,-119.9221,Point,5.862882
150,SBC,34.402783,-119.85755,Point,3.829304
151,SBC,34.394071,-119.72957,Point,3.780287
152,SBC,34.422122,-119.95154,Point,7.486676
153,SBC,34.05865,-119.75763,Point,-9999
154,SBC,34.044433,-119.71513,Point,12.410836
155,SeaBrook,42.9,-70.793,Point,19.276093
156,SeaBrook,42.892,-70.788,Point,19.284943
157,SeaBrook,42.971,-70.753,Point,-9999
158,SeaBrook,42.96,-70.769,Point,-9999
159,Sebens,42.420954,-70.904486,Point,-9999
160,Sebens,42.502203,-70.774596,Point,9.169969
161,Sebens,42.502202,-70.775088,Point,9.139756
162,Sebens,42.414742,-70.905683,Point,-9999
163,Sebens,42.414885,-70.905211,Point,-9999
164,Sheaves,-19.273,146.787,Point,-9999
165,Sheaves,-19.269,146.788,Point,-9999
166,Shimanaga,35,139.35,Point,11.382116
167,Shin,22.289,114.173,Point,-9999
168,Shin,22.293,114.051,Point,34.451862
169,Shin,22.294,114.223,Point,-9999
170,Shin,22.249,114.265,Point,16.36301
171,Shin,22.306,114.102,Point,51.493
172,Somerfield,24.814,-80.737,Point,12.132067
173,Sonnewald,55,2.5,Point,7.796412
174,Svensson,12.644,109.4,Point,-9999
175,Svensson,12.643,109.4,Point,-9999
176,Svensson,12.646,109.398,Point,-9999
177,Svensson,12.645,109.398,Point,-9999
178,Svensson,12.653,109.395,Point,-9999
179,Svensson,12.654,109.393,Point,-9999
180,Svensson,12.656,109.396,Point,-9999
181,Svensson,12.655,109.395,Point,-9999
182,SwedFishTrap,57.252,12.077,Point,7.395976
183,SwedFishTrap,57.226,12.09,Point,6.54056
184,SwedFishTrawl,57.289,12.05,Point,7.013063
185,SwedFishTrawl,57.199,12.074,Point,9.500055
186,SwedMacro,57.815,16.891,Point,9.799135
187,SwedMacro,57.815,16.891,Point,9.799135
188,SwedMacro,57.408,16.779,Point,3.415583
189,SwedMacro,57.408,16.779,Point,3.415583
190,Touzri,37.286,9.92,Point,5.669013
191,Touzri,37.188,9.855,Point,-9999
192,Valdes,43.567,-3.783,Point,13.594076
193,Valdes,43.7,-3.783,Point,10.69873
194,Warwick,54.673,-1.118,Point,-9999
195,Warwick,54.6,-1.171,Point,-9999
196,Warwick,54.657,-1.148,Point,-9999
197,Warwick,54.631,-1.16,Point,-9999
198,Whomersley,53.57,-3.332,Point,15.237293
199,Whomersley,53.57,-3.332,Point,15.237293
200,Whomersley,53.57,-3.332,Point,15.237293
201,Yildiz,41.188,40.238,Point,11.102506
